,Name,Opportunity Number,Eligibility,Agency Name,Description
443,Early-life Factors and Cancer Development Later in Life (R03 - Clinical Trial Not Allowed),PA-18-531,"Native American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)Independent school districtsSmall businessesState governmentsCounty governmentsPublic and State controlled institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsPublic housing authorities/Indian housing authoritiesCity or township governmentsFor profit organizations other than small businesses",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to stimulate research focused on the role of early-life factors (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) in cancer development later in life. Given that the current emerging evidence from limited research indicates a potentially important role for early-life events and exposures in cancer development, it is necessary to better understand 1) the early-life (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) factors that are associated with later cancer development; 2) how early-life factors mediate biological processes relevant to carcinogenesis; and 3) whether predictive markers for cancer risk based on what happens biologically at early life can be measured and developed for use in cancer prevention strategies. Markers that predict malignancy or pre-malignant conditions would allow assessment of early-life exposures with relevant outcomes without having to wait decades for cancer development. Ultimately, a better mechanistic understanding of how early-life events and exposures contribute to the etiology of cancer later in life will allow for the development of effective interventions during pregnancy or early life that may have a profound impact on cancer prevention."
444,Early-life Factors and Cancer Development Later in Life (R21 - Clinical Trial Not Allowed),PA-18-532,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Public and State controlled institutions of higher educationCity or township governmentsCounty governmentsIndependent school districtsSpecial district governmentsFor profit organizations other than small businessesNative American tribal governments (Federally recognized)State governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Public housing authorities/Indian housing authorities",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to stimulate research focused on the role of early-life factors (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) in cancer development later in life. Given that the current emerging evidence from limited research indicates a potentially important role for early-life events and exposures in cancer development, it is necessary to better understand 1) the early-life (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) factors that are associated with later cancer development; 2) how early-life factors mediate biological processes relevant to carcinogenesis; and 3) whether predictive markers for cancer risk based on what happens biologically at early life can be measured and developed for use in cancer prevention strategies. Markers that predict malignancy or pre-malignant conditions would allow assessment of early-life exposures with relevant outcomes without having to wait decades for cancer development. Ultimately, a better mechanistic understanding of how early-life events and exposures contribute to the etiology of cancer later in life will allow for the development of effective interventions during pregnancy or early life that may have a profound impact on cancer prevention."
445,Early-life Factors and Cancer Development Later in Life (R01 - Clinical Trial Not Allowed),PA-18-529,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsNative American tribal organizations (other than Federally recognized tribal governments)Public housing authorities/Indian housing authoritiesPublic and State controlled institutions of higher educationSmall businessesCity or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsIndependent school districtsFor profit organizations other than small businessesNative American tribal governments (Federally recognized)County governmentsPrivate institutions of higher education",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA)is to stimulate research focused on the role of early-life factors (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) in cancer development later in life. Given that the current emerging evidence from limited research indicates a potentially important role for early-life events and exposures in cancer development, it is necessary to better understand 1) the early-life (maternal-paternal, in utero, birth and infancy, puberty, adolescence, and young adult years) factors that are associated with later cancer development; 2) how early-life factors mediate biological processes relevant to carcinogenesis; and 3) whether predictive markers for cancer risk based on what happens biologically at early life can be measured and developed for use in cancer prevention strategies. Markers that predict malignancy or pre-malignant conditions would allow assessment of early-life exposures with relevant outcomes without having to wait decades for cancer development. Ultimately, a better mechanistic understanding of how early-life events and exposures contribute to the etiology of cancer later in life will allow for the development of effective interventions during pregnancy or early life that may have a profound impact on cancer prevention."
446,Community Partnerships to Advance Research (CPAR) (R21 Clinical Trial Optional),PA-18-381,"Independent school districtsPublic and State controlled institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesCounty governmentsSpecial district governmentsPublic housing authorities/Indian housing authoritiesFor profit organizations other than small businessesNative American tribal governments (Federally recognized)Private institutions of higher educationState governmentsCity or township governments",National Institutes of Health,"This funding opportunity announcement (FOA) encourages researchers to partner with community groups, using Community Engaged Research (CEnR) methodologies that will enhance relationships and lead to better intervention development and positive health outcomes."
447,Advancing Basic Neurobiology Toward Translation Through Assay Development (R01 Clinical Trials Not Allowed),PAR-18-505,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)County governmentsState governmentsCity or township governmentsFor profit organizations other than small businessesSmall businessesPublic housing authorities/Indian housing authoritiesPublic and State controlled institutions of higher educationIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal governments (Federally recognized)",National Institutes of Health,"This funding opportunity announcement (FOA) encourages research grant applications to develop novel, robust assays to reveal changes in neuronal and/or glial function.  The goal is to adapt state-of-the-art measures of basic cellular processes or molecular events that are key mediators of nervous system function into phenotypic assays, with the intent to probe mechanisms or perturbations in an unbiased and efficient manner.  These novel assays would provide opportunities to measure neurobiological endpoints to accelerate basic discovery and support target identification and therapeutic development efforts."
448,Self-Management for Health in Chronic Conditions (R15 Clinical Trial Not Allowed),PA-18-474,"Independent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Public and State controlled institutions of higher educationNative American tribal governments (Federally recognized)For profit organizations other than small businessesCity or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Special district governmentsPublic housing authorities/Indian housing authoritiesState governmentsCounty governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPrivate institutions of higher education",National Institutes of Health,The purpose of this Funding Opportunity Announcement (FOA) is to encourage research that seeks to build the science of self-management for health in chronic conditions. This FOA focuses on self-management as a mainstream science to reduce the burden of chronic illnesses/conditions.
449,Self-Management for Health in Chronic Conditions (R21 Clinical Trial Optional),PA-18-384,"Private institutions of higher educationState governmentsPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Small businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)City or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsFor profit organizations other than small businessesSpecial district governments",National Institutes of Health,The purpose of this Funding Opportunity Announcement (FOA) is to encourage research that seeks to build the science of self-management for health in chronic conditions. This FOA focuses on self-management as a mainstream science to reduce the burden of chronic illnesses/conditions.
450,Biobehavioral and Technological Interventions to Attenuate Cognitive Decline in Individuals with Cognitive Impairment or Dementia (R21 Clinical Trial Optional),PA-18-347,"Special district governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesCounty governmentsCity or township governmentsNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesPrivate institutions of higher educationIndependent school districtsSmall businesses",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to stimulate clinical research focused on biobehavioral or technological interventions to attenuate cognitive decline in individuals with dementia (such as Alzheimers disease, Lewy body dementia, vascular dementia), mild cognitive impairment (MCI), or disease- or age-related cognitive decline. There is particular interest in interventions that can be implemented in community settings by the affected individual, informal caregivers, or others in the community. Research to inform the development of such interventions is also of interest, as well as research examining underlying mechanisms and biomarkers associated with response to interventions. It is anticipated that the results of this research will help affected individuals maintain independence and quality of life, improve their ability to perform activities of daily living (ADLs) and instrumental activities of daily living (IADLs), and additionally help to reduce stress, burden, and other poor outcomes in their caregivers."
451,Community Partnerships to Advance Research (CPAR) (R01 Clinical Trial Optional),PA-18-377,"Special district governmentsState governmentsPublic housing authorities/Indian housing authoritiesFor profit organizations other than small businessesPrivate institutions of higher educationCity or township governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)Independent school districtsPublic and State controlled institutions of higher educationCounty governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)",National Institutes of Health,"This funding opportunity announcement (FOA) encourages researchers to partner with community groups, using Community Engaged Research (CEnR) methodologies that will enhance relationships and lead to better intervention development and positive health outcomes."
452,Self-Management for Health in Chronic Conditions (R01 Clinical Trial Optional),PA-18-376,"Public and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)Special district governmentsSmall businessesFor profit organizations other than small businessesState governmentsCity or township governmentsCounty governmentsIndependent school districtsNative American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPrivate institutions of higher education",National Institutes of Health,The purpose of this Funding Opportunity Announcement (FOA) is to encourage research that seeks to build the science of self-management for health in chronic conditions. This FOA focuses on self-management as a mainstream science to reduce the burden of chronic illnesses/conditions.
453,Biobehavioral and Technological Interventions to Attenuate Cognitive Decline in Individuals with Cognitive Impairment or Dementia (R01 Clinical Trial Optional),PA-18-348,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Private institutions of higher educationState governmentsCity or township governmentsIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)Public and State controlled institutions of higher educationCounty governmentsSpecial district governmentsNative American tribal organizations (other than Federally recognized tribal governments)Small businessesFor profit organizations other than small businesses",National Institutes of Health,"The purpose of this funding opportunity announcement (FOA) is to stimulate clinical research focused on biobehavioral or technological interventions to attenuate cognitive decline in individuals with dementia (such as Alzheimers disease, Lewy body dementia, vascular dementia), mild cognitive impairment (MCI), or disease- or age-related cognitive decline. There is particular interest in interventions that can be implemented in community settings by the affected individual, informal caregivers, or others in the community. Research to inform the development of such interventions is also of interest, as well as research examining underlying mechanisms and biomarkers associated with response to interventions. It is anticipated that the results of this research will help affected individuals maintain independence and quality of life, improve their ability to perform activities of daily living (ADLs) and instrumental activities of daily living (IADLs), and additionally help to reduce stress, burden, and other poor outcomes in their caregivers."
454,"End-of-Life and Palliative Care Health Literacy: Improving Outcomes in Serious, Advanced Illness  (R21 Clinical Trial Optional)",PA-18-499,"Public and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesCity or township governmentsFor profit organizations other than small businessesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsIndependent school districtsPrivate institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsSmall businessesNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)County governments",National Institutes of Health,"This funding opportunity announcement (FOA) seeks to stimulate research focused on identification of the key barriers to effective end-of-life and palliative care (EOLPC) health literacy in diverse settings and populations, and to create novel strategies, interventions, and models of care to improve EOLPC health literacy, with the goal of improving outcomes for individuals with serious, advanced illness and their families and caregivers."
455,"End-of-Life and Palliative Care Health Literacy: Improving Outcomes in Serious, Advanced Illness  (R01 Clinical Trial Optional)",PA-18-498,"State governmentsPublic and State controlled institutions of higher educationPrivate institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsSpecial district governmentsNative American tribal organizations (other than Federally recognized tribal governments)Public housing authorities/Indian housing authoritiesCounty governmentsNative American tribal governments (Federally recognized)Small businessesFor profit organizations other than small businessesIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"This funding opportunity announcement (FOA) seeks to stimulate research focused on identification of the key barriers to effective end-of-life and palliative care (EOLPC) health literacy in diverse settings and populations, and to create novel strategies, interventions, and models of care to improve EOLPC health literacy, with the goal of improving outcomes for individuals with serious, advanced illness and their families and caregivers."
456,BRAIN Initiative: Targeted BRAIN Circuits Planning Projects  TargetedBCPP (R34 - Clinical Trials Not Allowed),RFA-NS-18-014,"Independent school districtsPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)State governmentsNative American tribal governments (Federally recognized)County governmentsFor profit organizations other than small businessesSmall businessesCity or township governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsPrivate institutions of higher education",National Institutes of Health,"This R34 FOA solicits applications that offer a limited scope of aims and an approach that will establish feasibility, validity, or other technically qualifying results that, if successful, would support, enable, and/or lay the groundwork for a potential, subsequent Targeted Brain Circuits Projects - TargetedBCP R01, as described in the companion FOA (RFA-NS-18-009). Applications should be exploratory research projects that use innovative, methodologically-integrated approaches to understand how circuit activity gives rise to mental experience and behavior."
457,Using Information Technology to Support Systematic Screening and Treatment of Depression in Cancer (R01  Clinical Trial Optional),PA-18-493,"State governmentsSpecial district governmentsPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)County governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsIndependent school districtsFor profit organizations other than small businesses",National Institutes of Health,"This funding opportunity announcement (FOA) encourages research to understand how information technology (IT) can support systematic screening and treatment of depression in cancer patients in a variety of oncology practice settings. The goals of this FOA are to: identify new, IT-enabled delivery models that support systematic screening and treatment of depression in cancer patients; test the feasibility of implementing these new delivery models in a variety of oncology practice settings, especially those serving under-served populations; and test the effectiveness of these new delivery models, and their components, in a variety of oncology practice settings, especially those serving under-served populations."
458,Using Information Technology to Support Systematic Screening and Treatment of Depression in Cancer (R21  Clinical Trial Optional),PA-18-492,"County governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsSmall businessesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationPrivate institutions of higher educationSpecial district governmentsFor profit organizations other than small businessesState governmentsNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)City or township governmentsPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"This funding opportunity announcement (FOA) encourages research to understand how information technology (IT) can support systematic screening and treatment of depression in cancer patients in a variety of oncology practice settings. The goals of this FOA are to: identify new, IT-enabled delivery models that support systematic screening and treatment of depression in cancer patients; test the feasibility of implementing these new delivery models in a variety of oncology practice settings, especially those serving under-served populations; and test the effectiveness of these new delivery models, and their components, in a variety of oncology practice settings, especially those serving under-served populations."
459,The NCI Transition Career Development Award (K22 - Independent Clinical Trial Not Allowed),PAR-18-467,"State governmentsFor profit organizations other than small businessesCity or township governmentsCounty governmentsPrivate institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Public housing authorities/Indian housing authoritiesSpecial district governmentsPublic and State controlled institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsNative American tribal governments (Federally recognized)",National Institutes of Health,"This Funding Opportunity Announcement (FOA) represents the continuation of an NCI program to facilitate the transition of investigators in mentored, non-independent cancer research positions to independent faculty cancer research positions. This goal is achieved by providing protected time through salary and research support for the initial 3 years of the first independent tenure-track faculty position, or its equivalent, beginning at the time when the candidate starts a tenure-track faculty position."
460,The NCI Transition Career Development Award (K22 Independent Clinical Trial Required),PAR-18-466,"State governmentsPublic and State controlled institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)County governmentsPrivate institutions of higher educationFor profit organizations other than small businessesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesSpecial district governmentsCity or township governmentsIndependent school districts",National Institutes of Health,"This Funding Opportunity Announcement (FOA) represents the continuation of an NCI program to facilitate the transition of investigators in mentored, non-independent cancer research positions to independent faculty cancer research positions. This goal is achieved by providing protected time through salary and research support for the initial 3 years of the first independent tenure-track faculty position, or its equivalent, beginning at the time when the candidate starts a tenure-track faculty position."
461,Cancer Research Education Grants Program - Curriculum or Methods Development (R25),PAR-18-476,"City or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationCounty governmentsFor profit organizations other than small businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesIndependent school districtsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationSpecial district governments",National Institutes of Health,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this NCI R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs.  To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on Curriculum or Methods Development. Applications are encouraged that propose innovative, state-of-the-art programs that address the cause, diagnosis, prevention, and treatment of cancer, rehabilitation from cancer, and the continuing care of cancer patients and the families of cancer patients, in accordance with the overall mission of the NCI."
462,Cancer Research Education Grants Program - Courses for Skills Development (R25),PAR-18-477,"Small businessesIndependent school districtsFor profit organizations other than small businessesCity or township governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)County governmentsNative American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPublic housing authorities/Indian housing authoritiesState governmentsPublic and State controlled institutions of higher educationPrivate institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Special district governments",National Institutes of Health,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this NCI R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs. To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on     Courses for Skills Development. Applications are encouraged that propose innovative, state-of-the-art programs that address the cause, diagnosis, prevention, or treatment of cancer, rehabilitation from cancer, or the continuing care of cancer patients and the families of cancer patients"
463,Cancer Research Education Grants Program - Research Experiences (R25),PAR-18-478,"State governmentsCounty governmentsFor profit organizations other than small businessesIndependent school districtsPublic and State controlled institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPrivate institutions of higher educationSpecial district governmentsPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governments",National Institutes of Health,"The NIH Research Education Program (R25) supports research education activities in the mission areas of the NIH.  The over-arching goal of this NCI R25 program is to support educational activities that complement and/or enhance the training of a workforce to meet the nations biomedical, behavioral and clinical research needs.  To accomplish the stated over-arching goal, this FOA will support creative educational activities with a primary focus on Research Experiences. Applications are encouraged that propose innovative, state-of-the-art programs that address the cause, diagnosis, prevention, and treatment of cancer, rehabilitation from cancer, and the continuing care of cancer patients and the families of cancer patients, in accordance with the overall mission of the NCI."
464,Obesity and Asthma: Awareness and Self- Management (R01 Clinical Trial Optional),PA-18-379,"State governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsPrivate institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Public housing authorities/Indian housing authoritiesSpecial district governmentsNative American tribal organizations (other than Federally recognized tribal governments)Small businessesIndependent school districtsNative American tribal governments (Federally recognized)For profit organizations other than small businessesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationCounty governments",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to encourage research that examines the relationship between asthma, obesity and self-management.  It seeks to build the science of obesity, asthma, and self-management awareness."
465,Multi-Site Studies for System-Level Implementation of Substance Use Prevention and Treatment Services (R01 Clinical Trial Optional),PAR-18-222,"Small businessesPublic housing authorities/Indian housing authoritiesNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsCity or township governmentsPrivate institutions of higher educationFor profit organizations other than small businessesPublic and State controlled institutions of higher educationIndependent school districtsSpecial district governmentsNative American tribal organizations (other than Federally recognized tribal governments)",National Institutes of Health,"As part of the Collaborative Research on Addiction at NIH (CRAN) initiative, NIDA, NIAAA, and NCI join to issue this FOA. The purpose of this FOA is to support the development and testing of interventions, models, and/or frameworks that examine system-level implementation of evidence-based interventions, guidelines, or principles to improve the delivery, uptake, quality, and sustainability of substance use prevention and treatment interventions and services. "
466,Multi-Site Pilot and Feasibility Studies for System-Level Implementation of Substance Use Prevention and Treatment Services (R34 Clinical Trial Optional),PAR-18-223,"Special district governmentsPrivate institutions of higher educationFor profit organizations other than small businessesPublic and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Independent school districtsNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)County governmentsCity or township governmentsSmall businessesState governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"As part of the Collaborative Research on Addiction at NIH (CRAN) initiative, NIDA and NIAAA join to issue this FOA. The purpose of this FOA is to support the development and testing of interventions, models, and/or frameworks that examine system-level implementation of evidence-based interventions, guidelines, or principles to improve the delivery, uptake, quality, and sustainability of substance use prevention and treatment interventions and services.   "
467,Research on Autism Spectrum (R01- Clinical Trial Optional),PA-18-401,"Private institutions of higher educationIndependent school districtsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesCity or township governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPublic and State controlled institutions of higher educationNative American tribal governments (Federally recognized)Special district governmentsPublic housing authorities/Indian housing authoritiesState governmentsNative American tribal organizations (other than Federally recognized tribal governments)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)County governments",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to encourage research grant applications to support research designed to elucidate the etiology, epidemiology, diagnosis, and optimal means of service delivery in relation to Autism Spectrum Disorders (ASD)."
468,Research on Autism Spectrum (R21- Clinical Trial Optional),PA-18-400,"Public and State controlled institutions of higher educationFor profit organizations other than small businessesPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)State governmentsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsPrivate institutions of higher educationSmall businessesCounty governmentsCity or township governmentsIndependent school districts",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to encourage research grant applications to support research designed to elucidate the etiology, epidemiology, diagnosis, and optimal means of service delivery in relation to Autism Spectrum Disorders (ASD)."
469,Research on Autism Spectrum (R03-Clinical Trial Optional),PA-18-399,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsNative American tribal governments (Federally recognized)For profit organizations other than small businessesCity or township governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal organizations (other than Federally recognized tribal governments)Public and State controlled institutions of higher educationPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationIndependent school districtsNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCounty governmentsState governmentsSmall businesses",National Institutes of Health,"The purpose of this Funding Opportunity Announcement (FOA) is to encourage research grant applications to support research designed to elucidate the etiology, epidemiology, diagnosis, and optimal means of service delivery in relation to Autism Spectrum Disorders (ASD)."
470,Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional),PAR-18-189,"City or township governmentsSmall businessesNative American tribal governments (Federally recognized)Public housing authorities/Indian housing authoritiesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)State governmentsSpecial district governmentsIndependent school districtsPrivate institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationFor profit organizations other than small businessesNative American tribal organizations (other than Federally recognized tribal governments)County governments",National Institutes of Health,"This FOA encourages applications at the intersection of HIV and aging by addressing two overarching objectives: 1) to improve understanding of biological, clinical, and socio-behavioral aspects of aging through the lens of HIV infection and its treatment; and 2) to improve approaches for testing, prevention, and treatment of HIV infection, and management of HIV-related comorbidities, co-infections, and complications in different populations and cultural settings by applying our current understanding of aging science. Applications appropriate to this FOA should be consistent with the scientific priorities outlined by the NIH Office of AIDS Research (OAR) as described in NOT-OD-15-137."
471,Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional),PAR-18-190,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesNative American tribal governments (Federally recognized)State governmentsNative American tribal organizations (other than Federally recognized tribal governments)County governmentsPublic and State controlled institutions of higher educationPrivate institutions of higher educationPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationFor profit organizations other than small businessesCity or township governmentsSpecial district governmentsIndependent school districts",National Institutes of Health,"This FOA encourages exploratory/developmental research applications at the intersection of HIV and aging by addressing two overarching objectives: 1) to improve understanding of biological, clinical, and socio-behavioral aspects of aging through the lens of HIV infection and its treatment; and 2) to improve approaches for testing, prevention, and treatment of HIV infection, and management of HIV-related comorbidities, co-infections, and complications in different populations and cultural settings by applying our current understanding of aging science. Applications appropriate to this FOA should be consistent with the scientific priorities outlined by the NIH Office of AIDS Research (OAR) as described in NOT-OD-15-137."
